Lp.;Nazwisko;Imię;Stanowisko;Dział;Sekcja;Pensja;Zwolnienia;Urlop;;;;;;
1;Lubaszka;Krzysztof;Asystent księg.;Księgowość;Kopiarek;$21 888 ;1;11;;;;;;
2;Piwoński ;Robert;Asystent admin.;Inż.-Techn.;Drukarek;$23 036 ;1;5;;;;;;
3;Galaszewska ;Anna;Asystent admin.;Inż.-Techn.;Faxów;$23 036 ;2;21;;;;;;
4;Rogowska;Irena;Spec. d/s oprog.;Inż.-Techn.;Kopiarek;$34 002 ;1;8;;;;;;
5;Graczyński ;Jan;Sprzedawca;Sprzedaż;Kopiarek;$31 914 ;4;42;;;;;;
6;Murawska ;Urszula;Księgowy;Księgowość;Kopiarek;$26 101 ;8;9;;;;;;
7;Andrychowicz;Felicja;Asystent admin.;Admin.;Kopiarek;$23 212 ;3;32;;;;;;
8;Wachowicz;Janusz;Asystent admin.;Admin.;Kopiarek;$23 212 ;2;24;;;;;;
9;Koszewska;Amanda;Asystent projektanta;Reklama;Drukarek;$23 239 ;3;32;;;;;;
10;Czerwiński;Robert;Asystent projektanta;Reklama;Faxów;$23 239 ;2;21;;;;;;
11;Linus;Maciej;Spec. d/s oprog.;Inż.-Techn.;Faxów;$35 480 ;2;16;;;;;;
12;Błażejczyk;Donald;Młodszy technik;Inż.-Techn.;Faxów;$21 304 ;6;63;;;;;;
13;Filipowicz;Jolanta;Sprzedawca;Sprzedaż;Kopiarek;$35 989 ;4;39;;;;;;
14;Melnik;Jan;Młodszy sprzedawca;Sprzedaż;Kopiarek;$33 301 ;10;11;;;;;;
15;Soplica;Edward;Specjalista d/s naukowych;Zarządzania;Faxów;$37 896 ;3;26;;;;;;
16;Jasiewicz;Czesław;Asystent admin.;Admin.;Faxów;$24 180 ;5;53;;;;;;
17;Kozikowska;Wiesława;Projektant;Reklama;Kopiarek;$28 859 ;18;19;;;;;;
18;Załuski;Marek;Sprzedawca;Sprzedaż;Faxów;$37 489 ;5;47;;;;;;
19;Słomczyński;Piotr;Młodszy sprzedawca;Sprzedaż;Faxów;$34 689 ;11;11;;;;;;
20;Semeniuk ;Zygmunt;Asystent admin.;Admin.;Drukarek;$25 147 ;9;9;;;;;;
21;Urbańczyk;Helena;Asystent projektanta;Reklama;Kopiarek;$25 176 ;28;28;;;;;;
22;Grabowski;Paweł;Projektant;Reklama;Kopiarek;$30 014 ;7;8;;;;;;
23;Wojtyra;Wojciech;Asystent admin.;Inż.-Techn.;Drukarek;$25 147 ;1;11;;;;;;
24;Persiński;Antoni;Główny inżynier;Inż.-Techn.;Faxów;$51 879 ;14;15;;;;;;
25;Nadwiślańska;Łucja;Sekretarka zespołu;Sprzedaż;Kopiarek;$26 041 ;7;7;;;;;;
26;Mączyńska;Olga;Specjalista d/s naukowych;Zarządzania;Kopiarek;$41 053 ;4;42;;;;;;
27;Lubańska ;Irena;Asystent admin.;Admin.;Faxów;$26 114 ;2;16;;;;;;
28;Krawczyk;Zygmunt;Księgowy;Księgowość;Drukarek;$30 452 ;2;21;;;;;;
29;Hubertus;Marek;Młodszy księgowy.;Księgowość;Drukarek;$26 646 ;10;11;;;;;;
